title,tags
"Is there a place to leave backpacks at UN headquarters before its tour?","<new-york-city><tours><luggage-storage><landmarks>"
"How long does it takes to get into the ferry to visit Liberty Island on weekdays?","<new-york-city><ferries><statue-of-liberty>"
"Can I insist on the original routing upon flight cancellation?","<air-travel><layovers>"
"Stop in Hong Kong 3:30 hrs","<hong-kong>"
"Transit in DXB between terminal 2 to 1","<transit><dxb><airport-terminals>"
"Get different Uber driver","<uber>"
"Visit record USA with ESTA","<usa><esta>"
"How can I apply for a UK visa to attend a conference","<visas><uk>"
"Do I need an UK visa?","<transit-visas>"
"Can I travel from Serbia to Budapest with just my Czech Republic ID?","<borders><czech-republic><identity-cards><serbia>"
"Road standards in Morocco?","<road-trips><morocco>"
"Malaysia passport holder: do I need a visa?","<visas>"
"Lyon public transit ticket conditions?","<public-transport><lyon>"
"Should I just not bother to ""reserve"" rental cars anymore?","<car-rentals>"
"180 day rule ESTA & B Visa","<esta><b1-b2-visas><90-180-visa-rules>"
"Applying for a US visa in UK with a UK visa expiring soon","<visas><usa><passports><uk-residents>"
"How much leeway do card companies give on trip cancellation/interruption coverage rules?","<insurance><travel-insurance-claim>"
"Can I ask to watch a TSA officer put on gloves?","<usa><airport-security><tsa>"
"Is missing later flight in connecting flight possible?","<india><short-connections><domestic-travel><connecting-flights>"
"Luggage at transit","<air-travel><luggage><tax-refunds>"
"US Citizen flying to Nicaragua without defined end date or visa","<visas><airlines><us-citizens><long-term>"
"Can I enter Romania by road on single entry (C Visit) visa from Bulgaria","<romania><bulgaria>"
"No rail service to Ben Gurion airport on a Friday morning?","<trains><airport-transfer><event-based-effects><israel><tlv>"
"Filipino national getting a visa via a British partner","<visas><uk><filipino-citizens>"
"Why were holes drilled into my luggage when I entered the US?","<customs-and-immigration><tsa><privacy>"
"German visa while in UK for Pakistani Passport Holder","<schengen><pakistani-citizens><schengen-visas>"
"Boarding a flight without a visa intending to claim asylum","<visas><tickets><canada><airlines><refugees>"
"UK spouse visa, traveling to the UK before application","<visas>"
"Chinese citizen visa on arrival for Vietnam","<visas><china><vietnam>"
"What can I do if my Schengen visa isn't issued by my departure date?","<schengen><schengen-visas>"
"What paperwork is needed to cross non-EU Balkan borders with a rental car?","<customs-and-immigration><paperwork><car-rentals><balkans>"
"Entered USA by land, left by air, green paper still stapled in passport, do I risk something when going back?","<usa><paperwork><us-visa-waiver-program><passport-stamps>"
"North Korean themed theme parks","<amusement-parks><east-asia>"
"Small children to see the Queen's Horse Guards in London?","<uk><london><england>"
"Schengen tourist visa right after student visa expires (South Korean passport holder)","<visas><schengen><germany><south-korea><czech-republic>"
"Do I need a visa to enter UK just to rehearse with my band?","<visas><uk>"
"US road trip for UK citizen before work","<usa><car-rentals><driving><road-trips><driving-licenses>"
"How to find out the speed limit in the US?","<usa><automobiles>"
"What are the possibilities of having sexual encounters during stay at a hotel?","<hotels><regulations>"
"Is it legal to have 2 flights in the air at the same time with the same flight #?","<air-travel><regulations><flight-status>"
"Is China Airlines safe?","<airlines><safety><china-airlines>"
"What will happen if I overstay in South Africa?","<visas><customs-and-immigration><australian-citizens><south-africa><overstaying>"
"Do I need to leave the Schengen area between two 180-day periods?","<visas><schengen>"
"Three-level pricing for Laos visa extension / overstaying","<price><laos><visa-extensions>"
"Do I need a visa for 1 week holiday in Istanbul, from Netherlands?","<visas><turkey><istanbul><italian-citizens>"
"Cheapest way of getting from Tel Aviv to Amman as an Israeli citizen?","<israel><overland><jordan><israeli-citizens><amman>"
"How to find the nearest location which has sunny forecast","<online-resources><tips-and-tricks><weather-and-climate>"
"Weather in Australia (Melbourne) summer, winter?","<australia><weather-and-climate><clothing><melbourne>"
"What does a flight code identify?","<air-travel><airlines><regulations><factoids>"
"Reapply for Visa or Take Chance at Border?","<visas><usa><uk><passports><borders>"
"Help me find scientific getaways!","<study><geek-travel>"
"A question about work life in Japan","<japan><work><culture><working-visas>"
"Spain Visa Extension","<visas><indian-citizens><spain><business-travel><visa-extensions>"
"What is an appropriate gift for an Indian wedding?","<india><weddings><gifts>"
"Calling within Europe","<europe><france><italy><switzerland><communication>"
"Does Air India provide any compensation for delayed flights?","<delays><compensation><air-india>"
"Can I use CouchSurfing as as proof of accommodation for a Schengen visa?","<visas><schengen><iceland><couchsurfing>"
"Need Schengen visa with UK work permit and indian passport","<schengen>"
"Can non-residents of Iceland bring alcohol into Iceland?","<customs-and-immigration><iceland><alcohol>"
"US to UK visa or no visa for multiple visits","<visas><uk><us-citizens><multiple-entry>"
"Uk Tier 5 Youth Mobility Visa arrival dates","<visas><schengen>"
"Can I leave and return to Singapore using a short-term visit pass after cancellation of employment pass?","<visas><singapore>"
"Safe place to see the ""real"" Palestine as an Israeli passport holder?","<safety><israeli-citizens><palestine>"
"How to sleep in twins beds that are pushed together?","<tips-and-tricks><sleeping>"
"Does DTW have faster security for United premier access holders?","<airports><united-airlines><tsa><detroit><dtw>"
"Renting a car in Tel Aviv as a young driver with a new license?","<car-rentals><driving-licenses><israel><age-limits><tel-aviv>"
"How to measure offshore limit for Bareboat Skipper IYT?","<regulations><sea-travel><sailing>"
"Free camping in Uk, Belgium, Netherlands - is it legal?","<uk><legal><netherlands><camping><belgium>"
"Will my overstay in South Africa be noticed?","<passports><south-africa><overstaying><passport-stamps>"
"Flight booking comparison including amenity info (e.g. wifi, refreshments)","<air-travel><flight-search-engines><wifi>"
"Indian seeking to visit Dubai and then Muscat... How to do it?","<transportation><dubai><uae><oman><muscat>"
"Figure for taxi ride from LAS Las Vegas airport to the MGM","<airport-transfer><taxis><fares><las-vegas><las>"
"Did Finland's border authorities make a mistake?","<visas><schengen><90-180-visa-rules><finland>"
"How to get Saudi Arabian transit visa for road travel?","<transit><driving><transit-visas><saudi-arabia><kuwaiti-citizens>"
"Is it safe to travel from Singapore to Batam by ferry?","<safety><ferries><indonesia><singapore>"
"Transportation during short visit to London","<public-transport><tickets><london>"
"Am I expected to tip for room service on top of the Service and delivery fee?","<usa><hotels><tipping>"
"Is liability insurance required in order to rent a car?","<usa><car-rentals><insurance><georgia-usa>"
