title,tags
"Can you guess the character I am thinking of?","<knowledge>"
"Restoring order in a deck of playing cards (I)","<mathematics><combinatorics><computer-puzzle>"
"Standard Sudoku Specialized with just 2 Primes","<mathematics><no-computers><sudoku><calculation-puzzle>"
"Solve the pattern! (game)","<logical-deduction><grid-deduction><nonogram>"
"A comedian's lies","<rhyme><cryptic-clues>"
"Place The Black King Legally-Two Solutions","<chess><retrograde-analysis>"
"Help me remember","<enigmatic-puzzle><crosswords>"
"Vertical and Horizontal Bars - An Instructionless Puzzle","<enigmatic-puzzle><grid-deduction>"
"Number Sequence Series-Question 7","<calculation-puzzle><number-sequence>"
"Thousands and thousands of words","<visual><rebus><geography><cryptic-clues><crossword-clues>"
"Can you see through me? Then guess my name!","<knowledge><visual><steganography>"
"Numberless Sudoku with Just a Letter and Symbol Combination","<mathematics><no-computers><sudoku><calculation-puzzle>"
"A mountain riddle","<riddle><geography><anagram>"
"E's-y T's: Word square fill in","<word><no-computers><word-square>"
"Hiker's Cabin Mystery | Pt. IX","<cipher>"
"Simple Rule Generates this Sequence from Well Known Number Series","<mathematics><knowledge><number-sequence><no-computers>"
"Find my name from this list of symbols","<cipher><lateral-thinking>"
"More important than the destination","<knowledge><enigmatic-puzzle><pattern><geography><metapuzzles>"
"The mysterious operation $\oplus$","<mathematics><formation-of-numbers>"
"Racetrack designers, assemble!","<game-theory><construction>"
"Number Sequence Series-Question 8","<calculation-puzzle><number-sequence>"
"Is it True that Two + Two = 2? If so, what is Ten + Ten and Nine + Nine?","<logical-deduction><knowledge><calculation-puzzle>"
"What's the most efficient method to scramble Rubik's Cube to consider it as sufficiently scrambled?","<rubiks-cube>"
"Make a formula to get the highest score","<mathematics><formation-of-numbers>"
"Homophone fills the blanks","<wordplay>"
"Where is Steve?","<cipher><visual>"
"What's up with my calculator?","<lateral-thinking><number-sequence>"
"Unconventional Opposites","<word><english>"
"Restoring order in a deck of playing cards (II)","<mathematics><combinatorics><computer-puzzle>"
"Express the Squares of first 20 Numbers with only numbers found in their Sum of Digits","<mathematics><no-computers><calculation-puzzle>"
"A head, a heart and a tail","<riddle><rhyme>"
"2017 is the 1st prime satisfying three conditions. What is the 2nd?","<mathematics>"
"Based on this, who am I?","<riddle>"
"Cryptic Rebuses","<knowledge><rebus><cryptic-clues>"
"What is my name?","<riddle><enigmatic-puzzle><history>"
"10 9 8 7 6 5 4 3 2 1 = 2017","<mathematics><formation-of-numbers>"
"Kitty's New Mission","<enigmatic-puzzle><story>"
"Another puzzle on the properties of the prime 2017","<mathematics><number-theory>"
"Sometimes needed to survive","<riddle>"
"A quick, easy mistyped question","<steganography><letters><seasonal>"
"I can be your happiness or your misery. Who am I?","<riddle>"
"Time for Something New","<visual><seasonal>"
"Make numbers 1 - 32 using the digits 2, 0, 1, 7","<mathematics><formation-of-numbers>"
"I have four layers","<riddle>"
"The bakery - Clue Twenty One","<cipher><story><steganography><imgur-maze>"
"Two hearted riddle","<riddle><cipher><rhyme>"
"(Game of Life) It's so fragile... but how to reach it?","<cellular-automata>"
"A self-unsure portrait","<visual>"
"Puzzling SE in 2017","<riddle><rhyme><seasonal>"
"Entering the star club","<pattern><password>"
"Cryptic Rebuses at the Zoo","<knowledge><rebus><cryptic-clues><animals>"
"Who am I to balance nothing?","<riddle>"
"Logic problem about five thieves","<logical-deduction><logic-grid>"
"A poetic day of the week","<pattern><enigmatic-puzzle><knowledge><history>"
"Where in the world am I supposed to go?","<riddle><cipher>"
"Fifteen distinct positive integers","<number-sequence>"
"When you were young, you didn't fear me","<riddle><rhyme><poetry>"
"Vigenère cipher","<riddle><cipher><letters>"
"Constellations Puzzle : Find The Hidden Message","<logical-deduction><pattern>"
"Rock, Paper, Scissors, Anti-Rock","<mathematics><game-theory>"
"A strange dictator","<riddle>"
"New puzzle for who has long boring days","<logical-deduction><grid-deduction>"
"Knights and Queen puzzle","<mathematics><chess><checkerboard>"
"Guess characters from pictures","<knowledge><visual>"
"Complete the series:","<mathematics><logical-deduction><number-sequence><sequence>"
"Can you fill in the missing number?","<pattern><calculation-puzzle>"
"Ranking boxers in order of their strength in minimum number of days","<mathematics>"
"Another puzzle for who has long boring days","<logical-deduction><grid-deduction>"
"The scientific one!","<knowledge><cipher><visual><rebus>"
"Reverse Engineering Computer Formula","<logical-deduction><enigmatic-puzzle><calculation-puzzle><computer-puzzle>"
"A quick rebus for the children","<rebus>"
"Literally Riley","<riddle><word><wordplay><language>"
"Colouring the map of Canada","<riddle><geography><history>"
"Keep Your Head Up","<rebus>"
"Is there any easy way to solve this lock puzzle?","<strategy><lights-out>"
"Stop, and stop now","<riddle><word><poetry>"
"The hardest crossword you'll do today!","<no-computers><anagram><crosswords><seasonal>"
"Numbers in the series: The British way","<lateral-thinking><number-sequence>"
"Recipe for diced shark fin","<calculation-puzzle><no-computers><combinatorics><dice>"
"What number should replace the question mark in the grid?","<pattern>"
"Visual IQ puzzle with no clear pattern?","<pattern><visual>"
"Where is this picture taken?","<visual>"
"Placing The Black King","<chess><optimization>"
"A barred crossword","<crosswords>"
"Number Code - A Visitor by Moonlight","<cipher>"
"The Chess Moments","<chess><weighing>"
"North below south","<riddle><word><wordplay><geography><outer-space>"
"Not the squares you were looking for","<enigmatic-puzzle>"
"Flower Power: What Kind?","<riddle><word>"
"What do all of these things have in common?","<knowledge><visual>"
"What is this picture together telling?","<visual>"
"How to solve this calculation puzzle question?","<pattern>"
"Solution without words","<logical-deduction><reverse-puzzling>"
"Relation between the following numbers","<mathematics>"
"Untitled (Not Just a) Word Search","<enigmatic-puzzle><word-search>"
"What is translated?","<cryptic-crosswords><printers-devilry>"
"Restore the square","<dissection>"
"Where to pitch the next tent?","<logical-deduction><grid-deduction>"
"Are there ""rules"" (or consistent conventions) that limit when the NY Times Crossword can deviate from rotational symmetry?","<puzzle-creation><crosswords>"
"What is the maximum number of solutions a Sudoku puzzle can have?","<sudoku><solvability>"
"How many queens can be on a chessboard without attacking each other?","<checkerboard><chess>"
"Are there published Sudoku puzzles that require guessing?","<sudoku>"
"How can I procedurally generate Sokoban puzzles?","<puzzle-creation>"
"100 Prisoners' Names in Boxes","<mathematics><word-problem>"
"Learning to Solve a River Crossing Puzzle","<strategy><river-crossing>"
"How can I fix ""stuck"" positions on the Void Rubik's Cube (using the standard beginner's method)?","<rubiks-cube>"
"Why is a single-corner twist not a valid position on a Rubik's cube?","<rubiks-cube>"
"How many chess pieces does it take to ""cover"" all spaces on a chessboard?","<checkerboard><chess>"
"In the iterated Prisoner's Dilemma, how would a change in the payoff matrix affect strategy?","<game-theory>"
"Which switch goes to which bulb?","<lateral-thinking><strategy>"
"What are the criteria for determining the difficulty of Sudoku puzzle?","<sudoku><difficulty-rating>"
"What is the optimal first move in tic-tac-toe?","<tic-tac-toe><game>"
"What is the maximum ""minimum number of steps"" needed to solve a rubiks cube?","<rubiks-cube>"
"How can I generate mazes that often have multiple ""forks"" or choices?","<puzzle-creation><mazes>"
"General strategy for 2048","<2048-game><game>"
"Sliding Bolt Puzzle","<strategy><logical-deduction>"
"What is the largest tile possible in 2048?","<game><2048-game>"
"Alphametic (Verbal Arithmetic) general strategy","<alphametic><solvability>"
"Strategy for speedsolving 2048","<2048-game><speedsolving>"
"What do question marks mean in crossword clues?","<crosswords>"
"SlitherLink on moderate or large boards: going beyond 0s and 3s","<slitherlink>"
"Worst case scenario in 2048","<optimization><game><2048-game>"
"What rules are there for clue composition in a British cryptic?","<cryptic-crosswords><crossword-clues>"
"N logicians wearing hats of N colors","<logical-deduction><mathematics><hat-guessing>"
"MPire coloring game basic strategy","<combinatorics><game><graph-theory>"
"How to avoid getting ""stuck"" while generating sudoku puzzles?","<sudoku><puzzle-creation>"
"Round-Robin Tournament","<logical-deduction><calculation-puzzle><mathematics>"
"How to get started in speedcubing?","<rubiks-cube><speedsolving>"
"Fast strategies for solving Einstein's puzzles?","<solvability><logic-grid><speedsolving>"
"What is the name of this line-connecting game?","<puzzle-identification><game>"
"How to rate difficulty of a classic riddle?","<riddle><difficulty-rating>"
"How many clues are required to ensure Einstein's Puzzle is solvable?","<logic-grid><minimum-solve>"
"How to determine if a Rubik's Cube is sufficiently scrambled?","<rubiks-cube>"
"What is the maximum number of items in a river crossing puzzle?","<river-crossing>"
"Sliding Bolt Puzzle - fastest solution (time-wise)","<strategy><logical-deduction><mathematics><probability>"
"Minimum number of clues for a sudoku puzzle","<sudoku>"
"Three Gallon Jug and 5 Gallon Jug","<calculation-puzzle><decanting-problems>"
"How do you come up with a good classic rhyme riddle?","<riddle><rhyme><puzzle-creation>"
"The Puzzle of the Locked Box","<logical-deduction><story><keys-and-locks>"
"Magic square with the position of 8 fixed","<magic-square>"
"A small problem","<riddle><rhyme>"
"Do you know who I'm talking about?","<riddle><wordplay><rhyme>"
"Cheers to the Weekend!","<riddle><rhyme>"
"I am one of four","<riddle><rhyme>"
"Simple Math Problem #3","<lateral-thinking><calculation-puzzle>"
"Everyone Will Like This For Sure!","<rebus>"
"The Gang's all Here!","<word>"
"A quick rebus puzzle","<lateral-thinking><knowledge><rebus>"
"Help with a puzzle from an old book","<sequence>"
"A story reminiscent of something","<mathematics><wordplay><enigmatic-puzzle>"
"1 dimensional jigsaw","<jigsaw-puzzle>"
"Simple Question that I got back when I was in school","<wordplay><anagram>"
"Conversation with a superior intelligence","<enigmatic-puzzle><story><steganography>"
"How Ssimple is Thisss?","<pattern><lateral-thinking>"
"$1 = \rm Square. 2 =\:?$","<rebus>"
"Mr. Sloane's Tree","<pattern><geometry><number-sequence>"
"Zeebus Puzzle #6","<word><rebus><knowledge>"
"One Shall Stand, One Shall Fall. Riley Riddle","<riddle><wordplay><rhyme><language><acrostic>"
"When at first you don't succede try and Try again","<lateral-thinking><knowledge>"
"A Programmers Riddle","<riddle><computer-puzzle>"
"Chess puzzle with bishops and pawns","<chess>"
"Worn out and about","<riddle><word><wordplay><anagram>"
"My first attempt at a tyobrien riddle","<riddle><word>"
"Puzzle #5: As Hard as ABC","<lateral-thinking>"
"Name That ...Name? 12","<riddle><knowledge>"
"3 travelers and 9 diamonds","<logical-deduction><meta-knowledge>"
"Riddle Time. I bet this is an easy one","<riddle>"
"I Really Want To Go Here!","<riddle><wordplay>"
"Riddle Again, Riddle Again, What am I?","<logical-deduction><liars>"
"Puzzle #6: Brain Coaster","<mathematics>"
"Pattern #2: Xs and Os","<pattern><visual>"
"Two Eyes Are Actually Open","<riddle><wordplay><rhyme><rebus><poetry>"
"We all have it, but what is it?","<riddle>"
"We all have it. What is it?","<riddle>"
"Mathematical Rebus","<mathematics><rebus>"
"John's first pixel drawing","<visual><story><computer-puzzle><steganography>"
"You know you love me","<riddle><word>"
"Face Up Poker with Alice and Bob","<game>"
"Loser-Winner-Loser","<calculation-puzzle>"
"Cube made of 2x2x1 blocks which blocks all light","<geometry><combinatorics>"
"Another visual puzzle","<visual><steganography>"
"A Matter of Time","<riddle>"
"What am I, my little self?","<riddle>"
"Spreading Gossip","<mathematics><graph-theory>"
"Don't be too literal, take some numbers","<riddle>"
"How Many Minutes in a Second","<mathematics><word><lateral-thinking>"
"Cooperative guessing game: no incorrect guesses","<mathematics><probability><hat-guessing>"
"Tasty - Who am I?","<riddle>"
"Find the next image in this abstract reasoning puzzle","<pattern><geometry><lateral-thinking>"
"Find the path in 15 transitions","<visual>"
"The lighting expert and the prima donna","<mathematics><story>"
"Abstract image puzzle with a rotating arrow and a circle","<pattern><geometry>"
"Me and My Gang, Again","<riddle><word>"
"An ungodly creation - What am I?","<riddle>"
"Can Isaac get an even tan?","<mazes>"
"Sought among many - What am I?","<riddle>"
"Fast Mental Calculation of $7.5^7$","<mathematics><calculation-puzzle>"
"When you're sad and down, what do you say?","<riddle>"
"A group of friends at a restaurant.","<word-problem><logic-grid>"
"Correct way to add 22 to 4 to get given value","<logical-deduction><calculation-puzzle>"
"What colour was the chick?","<riddle><lateral-thinking><knowledge>"
"Find the RED meat!","<riddle><wordplay>"
"Which farmer gets to market first?","<riddle><lateral-thinking><puzzle-creation>"
"Riddle: Beyond the greatest tower","<riddle>"
"In the night I softly bellow","<riddle>"
"An easy riddle for riddlers","<riddle><lateral-thinking>"
"A short, easy riddle","<riddle><lateral-thinking>"
"Find all the possible Male Female combination","<logical-deduction>"
"A bloated riddle","<riddle>"
"Locate the hacker","<enigmatic-puzzle><mystery>"
"Correct way to add 22 to 4 to get 82","<logical-deduction><enigmatic-puzzle>"
"Combined numbers","<mathematics>"
"A Fairly Simple Riddle","<mathematics>"
"Riddle for a fine Thursday Morning","<riddle>"
"No danger from these strangers","<enigmatic-puzzle><story>"
"Distance between two parallel lines in 3-space","<mathematics>"
"In plain sight I lie","<riddle>"
"An unexpected appearance","<lateral-thinking><word-problem>"
"Two Fuses Burn for 45 Minutes","<matches>"
"HAs YOU BRaIN CoNFUSION?","<language>"
"Who is this mysterious friend?","<riddle>"
"Ultimate Puzzling Challenge: How it starts","<riddle><story>"
"Ultimate Puzzling Challenge: Puzzle A1","<story><geography>"
"What Does Igor's Letter Say?","<cipher><enigmatic-puzzle><english>"
"What should Trump do to get in?","<logical-deduction><knowledge>"
"What's that puzzle that goes like: Person A never lies, Person B always lies, etc?","<logical-deduction><puzzle-identification>"
"Rubik's cube with twisted corner","<rubiks-cube>"
"I am small but very precious","<riddle>"
"How many 5+ letter words can you find?","<word><no-computers><letters><crosswords>"
"I am part of your body","<riddle><wordplay>"
"Use four 8's to make the number 2016","<mathematics><lateral-thinking><formation-of-numbers>"
"14 crosses in a 6 by 6 grid","<logic-grid>"
"A mysterious permutation","<riddle><lateral-thinking>"
"Let's keep this civilized","<riddle><visual>"
